Deals,Industry Type,Issuance Type,Target Raise,Amount Raised,Location
DefenCall,Consumer Staples,Convertible Note,$156K,$2M,Israel
Defend Your Head,Information Technology,STO,$95K,$5M,Israel
Defense Mobile,Financials,STO,$693K,$5M,Mexico
Defense.Net,Consumer Staples,Debt,$5K,$3M,Singapore
DefenSoft,Information Technology,STO,$333K,$3M,Thailand
Defiant Games,Industrial,STO,$386K,$2M,Belgium
Define My Style,Industrial,Convertible Note,$700K,$8M,Singapore
Definicare,Consumer Staples,Convertible Note,$263K,$1M,Belgium
Definiens,Energy,Convertible Note,$913K,$9M,Bangladesh
Definigen,Utilities,Convertible Note,$80K,$4M,United Kingdom
Definition 6,Consumer Descretionary,STO,$858K,$8M,Afghanistan
Definitive Healthcare,Consumer Descretionary,STO,$261K,$9M,Afghanistan
Defixo,Industrial,Convertible Note,$904K,$6M,Denmark
Defywire,Information Technology,STO,$535K,$4M,India
Degania Medical,Communication Services,Debt,$593K,$4M,United States
Degordian,Real Estate,Convertible Note,$842K,$6M,Australia
Degree Controls,Materials,STO,$602K,$4M,Belgium
Degreed,Industrial,Debt,$594K,$3M,Poland
Deitek Systems,Materials,Debt,$330K,$3M,Indonesia
Deja View Concepts,Financials,Equity,$871K,$9M,Mexico
Dejamor,Utilities,STO,$395K,$4M,Mexico
Dejero Labs Inc.,Utilities,Debt,$845K,$9M,Thailand
Dejour Energy,Real Estate,Debt,$733K,$5M,Israel
Dekalb Surgical Alliance,Real Estate,Convertible Note,$908K,$1M,Canada
Dekko,Energy,Equity,$232K,$7M,United States
Dekkun,Real Estate,Equity,$118K,$10M,New Zealand
Del Mar Pharmaceuticals,Industrial,STO,$157K,$3M,New Zealand
Del Palma Orthopedics,Healthcare,STO,$956K,$8M,France
Del Sol Espana,Healthcare,STO,$849K,$7M,Ireland
Del Taco,Real Estate,Debt,$986K,$6M,Indonesia
Delafield Solutions,Materials,STO,$19K,$1M,Bangladesh
Delaget,Consumer Staples,Debt,$234K,$9M,Turkey
Delaware Valley Industrial Resource Center (DVIRC),Energy,STO,$800K,$10M,Afghanistan
Delcom,Materials,STO,$872K,$3M,Afghanistan
Delectable,Energy,Equity,$203K,$6M,India
Delenex Therapeutics,Consumer Staples,STO,$830K,$9M,Belgium
Delfigo Security,Healthcare,STO,$678K,$2M,Belgium
Delfmems,Materials,STO,$415K,$7M,Israel
Delhivery,Healthcare,Debt,$446K,$5M,Israel
dELiAs,Information Technology,Convertible Note,$369K,$1M,Poland
delicious,Materials,Equity,$914K,$3M,Afghanistan
Delight,Real Estate,Equity,$44K,$7M,Spain
Delight Foods,Consumer Staples,Debt,$172K,$3M,Turkey
Delighted,Financials,Convertible Note,$222K,$10M,United Kingdom
InventCore,Information Technology,Equity,$569K,$6M,Australia
DeLille Cellars,Financials,Equity,$465K,$8M,New Zealand
Delimedia,Consumer Descretionary,Convertible Note,$682K,$10M,Thailand
Deline.JY Inc.,Healthcare,Debt,$930K,$5M,Mexico
Delio,Financials,Debt,$384K,$9M,United Kingdom
MAGNIFI,Real Estate,Convertible Note,$484K,$2M,Turkey
Delirium,Industrial,Equity,$643K,$8M,Afghanistan
orderswift,Real Estate,Convertible Note,$227K,$10M,Indonesia
Deliv,Real Estate,Equity,$545K,$8M,Poland
DeliverCareRx,Communication Services,STO,$497K,$7M,Sweden
Delivered,Consumer Descretionary,Equity,$32K,$4M,Spain
Deliveree,Energy,Convertible Note,$472K,$5M,Sweden
Deliveright,Real Estate,Convertible Note,$146K,$9M,Afghanistan
Deliveroo,Financials,Debt,$59K,$5M,Canada
Delivery Club,Consumer Descretionary,STO,$802K,$6M,Australia
Delivery Hero,Utilities,Equity,$270K,$7M,United States
Delivery Republic,Materials,Debt,$577K,$3M,Spain
Delivery Science,Utilities,STO,$967K,$5M,China
Delivery Agent,Information Technology,Debt,$745K,$9M,Mexico
DeliveryCheetah,Consumer Descretionary,Convertible Note,$689K,$3M,United Kingdom
DeliveryChef.in,Utilities,STO,$274K,$9M,Israel
DeliveryCube,Healthcare,Convertible Note,$806K,$9M,Indonesia
Delizioso Skincare,Information Technology,Debt,$502K,$6M,United Kingdom
Delos,Information Technology,Debt,$416K,$10M,United Kingdom
Delouge,Consumer Descretionary,Debt,$584K,$2M,Thailand
Delphi,Energy,STO,$591K,$7M,Indonesia
Delphi Optics GmbH,Utilities,Convertible Note,$725K,$6M,Canada
Delphinus Medical Technologies,Utilities,STO,$980K,$8M,France
Delphix,Materials,STO,$304K,$7M,Singapore
DelphX,Industrial,Convertible Note,$513K,$9M,Turkey
Delpor,Healthcare,Convertible Note,$559K,$5M,Denmark
Delta Data Software,Consumer Descretionary,Equity,$89K,$2M,Malaysia
"Delta Energy & Communications, LLC",Communication Services,STO,$119K,$4M,Denmark
Delta Hydrocarbons,Communication Services,STO,$93K,$8M,South Africa
Delta ID,Industrial,Convertible Note,$747K,$4M,Poland
Delta Plant Technologies,Healthcare,Equity,$942K,$6M,Afghanistan
Delta Systems,Real Estate,Debt,$6K,$3M,Singapore
Delta Systems Engineering,Communication Services,STO,$243K,$2M,Bangladesh
DeltaBid.com,Financials,STO,$883K,$3M,Denmark
DeltaDNA,Financials,Debt,$767K,$7M,Belgium
deltaDOT,Utilities,Convertible Note,$338K,$6M,Turkey
Deltagen,Communication Services,STO,$461K,$4M,Poland
deltamethod,Information Technology,Debt,$367K,$2M,Iran
Deltanoid Pharmaceuticals,Consumer Staples,Debt,$356K,$10M,Sweden
Deltasight,Financials,Debt,$924K,$2M,Ireland
DeltaX,Utilities,Equity,$722K,$7M,Singapore
Deltek,Consumer Staples,Debt,$959K,$5M,Canada
DelTron Intelligence Technology,Communication Services,STO,$924K,$8M,Bangladesh
Deluux,Communication Services,Debt,$435K,$8M,Afghanistan
DeluxeBox,Industrial,Equity,$805K,$5M,Malaysia
Delve Networks,Healthcare,Equity,$578K,$4M,Sweden
Delver,Materials,Convertible Note,$652K,$2M,Mexico
Delver Ltd,Communication Services,STO,$665K,$10M,South Africa
Delvetica,Materials,Debt,$843K,$6M,Belgium
Delvv,Utilities,Debt,$643K,$8M,Thailand
Dely,Real Estate,Debt,$651K,$10M,Australia
D'Elysee,Consumer Staples,Convertible Note,$934K,$2M,Afghanistan
Delyver.com,Healthcare,Equity,$21K,$3M,France
Dem.ly Srl,Energy,STO,$300K,$8M,Indonesia
DEM Solutions,Healthcare,Convertible Note,$68K,$6M,Thailand
Explore Engage,Communication Services,Equity,$728K,$9M,South Africa
Explore.To Yellow Pages,Consumer Descretionary,Debt,$253K,$3M,Indonesia
Exploredge,Information Technology,Convertible Note,$866K,$10M,Bangladesh
ExploreLifeTraveling,Information Technology,Equity,$125K,$9M,Bangladesh
Explorer.io,Communication Services,Debt,$912K,$4M,Denmark
Exploretrip,Healthcare,Equity,$367K,$2M,Israel
Exploride,Financials,Convertible Note,$283K,$4M,United States
Explorra,Communication Services,Equity,$99K,$8M,Canada
Explorys,Materials,Debt,$662K,$3M,Canada
EXPO Communications,Healthcare,Debt,$904K,$10M,United Kingdom
Expocentric,Healthcare,Convertible Note,$391K,$6M,Bangladesh
Exponential Entertainment,Healthcare,STO,$534K,$6M,Australia
ExpoPromoter,Consumer Staples,Convertible Note,$580K,$9M,Malaysia
Exposed Vocals,Consumer Descretionary,STO,$567K,$2M,Israel
EXPO,Consumer Descretionary,Debt,$942K,$2M,Bangladesh
Expreem,Financials,Convertible Note,$453K,$2M,Malaysia
Express Engineering,Energy,Debt,$635K,$3M,Australia
Express Fit,Financials,Equity,$889K,$8M,Belgium
Express In Music,Energy,STO,$629K,$1M,Poland
Express Inn Hotel,Industrial,Convertible Note,$942K,$3M,Sweden
Express KCS,Materials,STO,$394K,$2M,Belgium
Express Laundromat and Dry Cleaning,Information Technology,Convertible Note,$59K,$1M,Poland
Express Med Pharmacy Services,Healthcare,Convertible Note,$82K,$9M,Canada
Express Medical Transporters,Materials,STO,$748K,$3M,China
Express Mobile Plus,Financials,STO,$792K,$8M,Iran
Express Oil Group,Financials,Convertible Note,$506K,$7M,Bangladesh
expresscoin,Materials,STO,$746K,$7M,Indonesia
eXpresso,Consumer Descretionary,Debt,$950K,$5M,Spain
expressor software,Consumer Staples,Equity,$10M,$48M,Indonesia
Expway,Industrial,Equity,$1M,$94M,Denmark
ExRo Technologies,Healthcare,Convertible Note,$13M,$15M,Israel
ExSafe,Energy,STO,$12M,$96M,Turkey
exsulin,Real Estate,Convertible Note,$9M,$26M,China
Extem,Utilities,Convertible Note,$13M,$56M,Indonesia
Extend America,Consumer Staples,Convertible Note,$10M,$86M,Canada
Extend Health,Communication Services,Debt,$1M,$1M,Mexico
Extend Labs,Healthcare,STO,$9M,$11M,Indonesia
Extend Media,Real Estate,Equity,$1M,$89M,Mexico
Extenda-Dent,Communication Services,STO,$12M,$1M,Turkey
ExtendCredit.com,Consumer Staples,Debt,$14M,$78M,Canada
Extended Care Information Network,Consumer Descretionary,Debt,$3M,$61M,Singapore
Extended Stay America,Healthcare,Convertible Note,$2M,$77M,Spain
Extended Systems,Communication Services,Equity,$3M,$88M,Thailand
ExtendEvent,Utilities,Debt,$2M,$75M,Australia
"ZypMedia, Inc.",Materials,Equity,$7M,$73M,Denmark
ExteNet Systems,Materials,Equity,$12M,$17M,Canada
Extension Entertainment,Financials,Convertible Note,$12M,$16M,Mexico
Exterity,Real Estate,STO,$13M,$94M,Spain
Externautics,Utilities,Equity,$8M,$35M,United Kingdom
Exterprise,Real Estate,STO,$9M,$81M,Afghanistan
ExThera Medical,Consumer Descretionary,Convertible Note,$5M,$50M,Israel
Extinction Pharmaceuticals,Materials,Convertible Note,$2M,$83M,Denmark
Extole,Financials,Equity,$14M,$32M,Sweden
Extra Life,Industrial,Equity,$13M,$99M,Mexico
EXTRABANCA,Healthcare,STO,$4M,$88M,Ireland
ExtractAlpha,Industrial,Debt,$4M,$61M,Spain
ExTractApps,Industrial,STO,$11M,$89M,Poland
ExtraFootie,Consumer Descretionary,Convertible Note,$12M,$77M,Turkey
ExtraHop Networks,Information Technology,Debt,$1M,$56M,Australia
ExtraOrtho,Financials,STO,$11M,$8M,India
Extraprise,Consumer Staples,Convertible Note,$6M,$89M,Iran
extraTKT,Utilities,Convertible Note,$13M,$6M,Mexico
Extreme DA,Materials,STO,$15M,$28M,Singapore
Extreme Enterprises,Healthcare,Convertible Note,$8M,$14M,Afghanistan
Extreme Fliers,Real Estate,STO,$9M,$63M,Denmark
Extreme Plastics Plus,Healthcare,STO,$11M,$3M,Bangladesh
Extreme Reach,Materials,STO,$14M,$69M,Denmark
Extreme Seo Internet Solutions,Industrial,Debt,$9M,$73M,Sweden
Extreme Startups,Real Estate,Equity,$11M,$38M,Singapore
Extreme Wireless Communication,Industrial,Equity,$6M,$35M,South Africa
Extreme Guide,Communication Services,Debt,$9M,$87M,Ireland
ExtremeOcean Innovation,Consumer Staples,STO,$15M,$7M,Afghanistan
Extreme Reality,Energy,Debt,$5M,$82M,South Africa
ExtremeScapes of Central Texas,Financials,Convertible Note,$4M,$49M,New Zealand
Extremis Technology,Healthcare,Equity,$2M,$91M,Afghanistan
Extricom,Communication Services,Debt,$3M,$99M,Sweden
Exuberant,Materials,Equity,$2M,$11M,Indonesia
exurbe cosmetics,Energy,Debt,$6M,$99M,Poland
Exuru!,Consumer Descretionary,Equity,$8M,$30M,Denmark
CityFashion for Business,Consumer Descretionary,STO,$3M,$13M,France
ExVivo Labs,Consumer Descretionary,Convertible Note,$6M,$41M,Indonesia
eYantra Industries,Consumer Staples,Debt,$2M,$26M,Malaysia
EYE,Financials,STO,$9M,$11M,Mexico
Eye-Fi,Utilities,Equity,$13M,$11M,Poland
Eye-Pharma,Financials,Equity,$14M,$43M,Australia
Eye Phone,Industrial,Debt,$6M,$42M,Belgium
Eye-Q,Industrial,STO,$2M,$94M,India
Eye Q Development,Communication Services,Equity,$12M,$50M,New Zealand
Eye Surgery Center of the Carolinas,Utilities,Convertible Note,$6M,$2M,Australia
Eyeball,Energy,Debt,$5M,$89M,Sweden
Eyeblaster,Financials,Equity,$5M,$45M,Indonesia
Eyebobs,Real Estate,Equity,$10M,$21M,India
Eyebrid Blaze,Information Technology,Debt,$3M,$78M,Thailand
Eyecast,Materials,Equity,$11M,$52M,France
Beam,Information Technology,Debt,$1M,$7M,Canada
EyeCyte,Financials,Convertible Note,$13M,$42M,Spain
Eyedentify,Information Technology,Convertible Note,$4M,$77M,United States
Eyeducation,Utilities,Debt,$4M,$97M,Iran
EyeEm,Consumer Descretionary,Debt,$5M,$65M,Sweden
eyefactive GmbH,Real Estate,Debt,$3M,$71M,Belgium
EYEFITU,Communication Services,STO,$9M,$51M,Spain
Eyefluence,Materials,STO,$14M,$58M,Poland
EyeFormatics,Utilities,STO,$3M,$87M,Poland
Eyefreight,Financials,Convertible Note,$9M,$24M,Israel
EyeGate Pharmaceuticals,Utilities,Debt,$8M,$9M,Thailand
EYEGLASS24,Real Estate,Debt,$11M,$98M,Canada
Eyegroove,Consumer Descretionary,Convertible Note,$11M,$50M,France
EyeGym,Utilities,Convertible Note,$13M,$93M,Malaysia
EyeIC,Industrial,Equity,$6M,$28M,New Zealand
eyeIO,Healthcare,Equity,$12M,$5M,Malaysia
EyeJot,Real Estate,STO,$11M,$14M,Spain
eYeka,Consumer Descretionary,Equity,$10M,$56M,Belgium
Eyelation,Financials,Equity,$12M,$26M,Malaysia
EyeLock,Information Technology,Debt,$14M,$60M,Singapore
Eyemart Express,Energy,STO,$12M,$67M,Ireland
Eyenalyze,Energy,Equity,$11M,$20M,Indonesia
EyeNetra,Consumer Descretionary,Convertible Note,$2M,$26M,India
Eyeona,Materials,Convertible Note,$15M,$60M,Iran
Eyeonix,Healthcare,STO,$5M,$8M,United States
Eyeota,Industrial,Equity,$11M,$85M,South Africa
Eyepic,Utilities,STO,$14M,$9M,Bangladesh
eyeQ,Consumer Descretionary,Debt,$9M,$12M,Spain
EyeQuant,Utilities,Equity,$13M,$70M,Australia
Eyerim,Energy,Debt,$4M,$2M,Belgium
"Eyes 4 Lives, Inc.",Consumer Staples,STO,$6M,$100M,Canada
"Eyes 4 Lives, Inc.",Financials,Convertible Note,$12M,$69M,Poland
EyesBot,Communication Services,STO,$4M,$95M,India
EyeScience,Healthcare,Equity,$5M,$13M,Ireland
iScribes,Real Estate,STO,$5M,$10M,Turkey
eyesFinder,Consumer Descretionary,Convertible Note,$5M,$67M,Israel
EyeSight Mobile Technologies,Materials,STO,$9M,$54M,United States
Eyesight & Vision GmbH,Information Technology,Equity,$6M,$58M,Mexico
EyeSmart Technology,Consumer Staples,Convertible Note,$14M,$23M,Bangladesh
EyeSpot,Consumer Staples,Debt,$10M,$43M,South Africa
Eyesquad,Consumer Staples,Convertible Note,$3M,$97M,France
Eyestorm,Consumer Descretionary,Convertible Note,$10M,$36M,Poland
EyeTechCare,Real Estate,Debt,$2M,$70M,Afghanistan
Eyetel Imaging,Communication Services,Equity,$8M,$92M,Iran
eyetok,Healthcare,Convertible Note,$3M,$44M,South Africa
Eyetronics,Real Estate,Convertible Note,$7M,$56M,Turkey
Eyevensys,Financials,Debt,$13M,$27M,Belgium
EyeVerify,Healthcare,Debt,$7M,$96M,Singapore
Eyeview,Materials,Equity,$2M,$98M,India
Prescription Eyewear,Utilities,Debt,$6M,$77M,Bangladesh
Eyewitness Surveillance,Financials,Debt,$12M,$57M,Bangladesh
Eyewiz,Healthcare,Debt,$7M,$50M,United States
EyeYon,Information Technology,Convertible Note,$14M,$87M,Turkey
Eykona Technologies,Utilities,Equity,$3M,$57M,India
EyminS AccountS,Healthcare,STO,$11M,$86M,Belgium
EYWA MEDIA,Information Technology,Equity,$8M,$41M,Thailand
EZ-Apps,Materials,Equity,$4M,$87M,Thailand
EZ LIFT Rescue Systems,Communication Services,Debt,$8M,$8M,New Zealand
eZ Systems,Consumer Descretionary,Debt,$11M,$57M,Australia
EZ-Ticket,Industrial,Convertible Note,$5M,$67M,Ireland
EZ Wheel,Industrial,Convertible Note,$11M,$29M,Australia
EZ2CAD,Utilities,Equity,$7M,$53M,India
EZ2Companies,Consumer Descretionary,STO,$6M,$50M,China
EZ4U,Energy,Convertible Note,$15M,$20M,Afghanistan
Ezakus,Healthcare,STO,$13M,$72M,New Zealand
e-Zassi,Industrial,Debt,$13M,$31M,Poland
Ezboard,Healthcare,STO,$12M,$40M,Belgium
EZbuildingEHS,Industrial,Equity,$9M,$18M,India
ezCater,Consumer Descretionary,Debt,$3M,$28M,Israel
EZChip,Healthcare,Debt,$10M,$96M,United Kingdom
EZDOCTOR,Energy,STO,$3M,$24M,Belgium
Ezeecube,Real Estate,Debt,$11M,$55M,New Zealand
ezeep,Consumer Descretionary,STO,$14M,$9M,New Zealand
eZelleron,Real Estate,STO,$10M,$27M,Indonesia
Ezetap,Healthcare,Equity,$14M,$26M,Sweden
EzFlop - A First of Its Kind Flip Flop,Industrial,Convertible Note,$8M,$91M,Israel
eziCONEX,Consumer Staples,Debt,$14M,$93M,Israel
EzLike,Healthcare,Equity,$13M,$27M,Turkey
EZMove,Healthcare,STO,$10M,$83M,Australia
ezNetPay,Information Technology,Equity,$5M,$91M,Canada
Ezoic,Real Estate,Debt,$3M,$32M,Turkey
eZono,Consumer Staples,Equity,$14M,$50M,Bangladesh
Ezose Sciences,Utilities,Equity,$10M,$48M,South Africa
EZprints.com,Financials,Equity,$15M,$78M,China
Ezra Innovations,Materials,STO,$9M,$97M,Thailand
EZTABLE,Communication Services,Convertible Note,$13M,$29M,Indonesia
ezTaxi,Materials,Debt,$3M,$7M,China
Ezuza,Materials,STO,$10M,$19M,France
eZWay,Energy,Equity,$1M,$52M,Thailand
EzyInsights,Consumer Descretionary,Debt,$14M,$96M,Turkey
Ezysolare,Consumer Descretionary,Debt,$3M,$60M,Spain
F.8 Interactive,Financials,STO,$13M,$15M,Australia
"F.J,Roberts Publishing",Utilities,STO,$15M,$86M,Thailand
F-Origin,Real Estate,Convertible Note,$3M,$65M,Afghanistan
Fırsat Bu Fırsat,Real Estate,Debt,$10M,$40M,Turkey
F&S Healthcare Services,Materials,STO,$7M,$95M,Belgium
F-star Biotechnology Limited,Financials,Convertible Note,$13M,$10M,Bangladesh
F2G,Materials,Convertible Note,$14M,$64M,Denmark
F3 Foods,Consumer Staples,STO,$5M,$94M,Afghanistan
F4F PR,Healthcare,Debt,$3M,$52M,Belgium
f4samurai,Energy,STO,$3M,$97M,Mexico
F50,Financials,STO,$13M,$34M,Poland
f6s,Communication Services,STO,$12M,$16M,Afghanistan
FA Enterprise System,Energy,Equity,$15M,$33M,United States
Faaborg Pharma,Utilities,STO,$2M,$96M,Malaysia
FAAH Pharma,Consumer Staples,STO,$7M,$18M,New Zealand
FAASOS,Materials,Debt,$6M,$92M,Singapore
FAB BAG,Consumer Descretionary,Debt,$13M,$79M,Denmark
Fab,Consumer Staples,Debt,$4M,$53M,Australia
Fab Solutions Company,Financials,Equity,$1M,$58M,Israel
FabAlley,Financials,Debt,$3M,$19M,Bangladesh
Fabbeo,Energy,Debt,$7M,$55M,Bangladesh
Fabelio,Healthcare,Debt,$3M,$30M,Israel
Fab'entech,Energy,STO,$10M,$78M,New Zealand
FabFitFun,Energy,STO,$10M,$11M,Iran
Fabhotels,Communication Services,Equity,$9M,$2M,Spain
Fabkids,Energy,Debt,$3M,$86M,Sweden
Fabler Comics,Financials,Debt,$15M,$85M,Australia
Fablic,Information Technology,Convertible Note,$11M,$29M,Afghanistan
Fablistic,Financials,STO,$7M,$34M,Denmark
FABPulous,Real Estate,Debt,$14M,$47M,United States
Fabric,Real Estate,Debt,$2M,$31M,Denmark
Fabric Engine,Materials,Convertible Note,$11M,$85M,Singapore
Fabric7 Systems,Consumer Descretionary,STO,$4M,$41M,Australia
Fabrication Games,Materials,Equity,$11M,$65M,India
Fabricly,Industrial,Equity,$14M,$34M,Australia
fabrik,Financials,Debt,$7M,$24M,Poland
Fabrika Online,Consumer Descretionary,Debt,$15M,$59M,Thailand
FabriQate,Consumer Descretionary,STO,$5M,$92M,Iran
fabrooms,Utilities,Debt,$4M,$92M,Poland
Fabrus,Healthcare,Convertible Note,$8M,$98M,Indonesia
FabTask,Consumer Staples,Equity,$13M,$54M,Ireland
FABtotum,Industrial,STO,$9M,$87M,New Zealand
Fabula,Healthcare,STO,$9M,$16M,Denmark
Fabule,Industrial,Convertible Note,$7M,$27M,Sweden
FABULONIA,Industrial,STO,$3M,$67M,Afghanistan
Fabulyzer,Real Estate,Equity,$11M,$100M,Sweden
FabZat,Consumer Descretionary,STO,$4M,$81M,Singapore
Face.com,Consumer Descretionary,Equity,$8M,$17M,Belgium
Face-Me,Healthcare,Equity,$2M,$98M,Malaysia
Face to Face Live,Communication Services,STO,$3M,$9M,Belgium
Face8,Consumer Descretionary,Debt,$13M,$32M,Bangladesh
FaceAlerta,Consumer Staples,STO,$9M,$12M,Denmark
Facebook,Real Estate,STO,$14M,$9M,Australia
FaceBuzz,Healthcare,STO,$9M,$93M,Afghanistan
FaceCake Marketing Technologies,Healthcare,Equity,$7M,$27M,Afghanistan
FaceFirst (Airborne Biometrics),Utilities,Convertible Note,$5M,$51M,United Kingdom
FACEIT,Consumer Descretionary,STO,$15M,$35M,Turkey
FaceOn Mobile,Industrial,Equity,$5M,$71M,Malaysia
FaceRig,Healthcare,Convertible Note,$8M,$82M,Spain
faceshift,Utilities,Debt,$9M,$21M,France
Facet Decision Systems,Industrial,Equity,$6M,$45M,Denmark
Facet Solutions,Industrial,Convertible Note,$9M,$15M,Spain
FaceTags,Energy,Equity,$12M,$19M,Turkey
"FaceTime Communications, Inc",Energy,Convertible Note,$10M,$54M,Sweden
Facial Network,Industrial,Debt,$2M,$36M,Israel
Facile System,Industrial,Debt,$13M,$91M,Israel
Facio,Communication Services,STO,$3M,$72M,Turkey
Facishare,Energy,Debt,$9M,$97M,South Africa
Facities,Communication Services,Convertible Note,$10M,$98M,Malaysia
Factabase,Energy,STO,$3M,$83M,France
Factery,Communication Services,Debt,$7M,$6M,New Zealand
FactiCo,Communication Services,Debt,$13M,$36M,United States
Faction Skis,Financials,Convertible Note,$1M,$68M,New Zealand
Factivate,Energy,Convertible Note,$13M,$78M,India
Factom,Utilities,Equity,$7M,$20M,France
FACTON,Industrial,Equity,$8M,$66M,Denmark
Factonomy,Consumer Descretionary,STO,$13M,$33M,Afghanistan
Factor 14,Energy,Convertible Note,$15M,$61M,South Africa
Factor.io,Communication Services,STO,$12M,$9M,Thailand
Factor Technology Group,Utilities,Convertible Note,$4M,$100M,France
Factorli,Consumer Descretionary,STO,$9M,$45M,Canada
FactorTrust,Consumer Staples,Convertible Note,$8M,$9M,Malaysia
Factory Logic,Energy,Debt,$8M,$20M,China
Factory Media Limited,Materials,Equity,$10M,$26M,South Africa
Factual,Energy,STO,$8M,$75M,Indonesia
FACTURAMA INC,Financials,Debt,$2M,$31M,New Zealand
Factyle,Real Estate,Debt,$5M,$85M,Spain
Faculte,Materials,Convertible Note,$5M,$27M,Mexico
FAD ★ IO,Materials,Debt,$7M,$70M,Canada
Fadel Partners,Utilities,Equity,$3M,$97M,Canada
Fadello,Healthcare,Convertible Note,$5M,$85M,Canada
FAGUO,Information Technology,Debt,$6M,$22M,Poland
Fahlo,Information Technology,Convertible Note,$12M,$80M,Australia
FailGo Solutions,Communication Services,Equity,$3M,$79M,Mexico
Fair and Square,Communication Services,Convertible Note,$5M,$6M,Thailand
Fair Observer,Financials,Convertible Note,$4M,$82M,United Kingdom
Fair value,Materials,Equity,$8M,$75M,Mexico
Fair Winds Brewing,Communication Services,Equity,$14M,$55M,Israel
Faira,Healthcare,STO,$10M,$15M,Israel
Faircent,Energy,Convertible Note,$2M,$47M,India
Fairchild Industrial Products Company,Energy,STO,$13M,$3M,France
FairFly,Energy,Equity,$12M,$23M,New Zealand
Fairlay,Information Technology,Equity,$2M,$62M,South Africa
Fairphone,Industrial,Debt,$6M,$73M,Belgium
FairPoint Communications,Utilities,STO,$12M,$15M,China
FairShare,Materials,Equity,$3M,$56M,Ireland
FairSoftware,Energy,Debt,$10M,$58M,South Africa
Fairwaves,Industrial,Equity,$14M,$46M,Singapore
Fairway Medical Technologies,Healthcare,Equity,$10M,$90M,Indonesia
Fairwinds CCC,Materials,Convertible Note,$15M,$71M,Mexico
FaisonsAffaire.com,Industrial,Debt,$9M,$49M,China
Faithful to Nature,Healthcare,STO,$12M,$83M,Poland
FaithStreet,Utilities,Convertible Note,$4M,$59M,Australia
fake company 2.0,Materials,Debt,$4M,$72M,Spain
Fakedice,Materials,STO,$8M,$22M,Israel
Fakespace Systems,Energy,STO,$15M,$34M,Bangladesh
"Falafel Games - Mezzabites Technologies Co., Ltd",Consumer Descretionary,STO,$7M,$48M,Mexico
Falco Resources,Utilities,Debt,$10M,$83M,Belgium
Falcon App,Information Technology,Convertible Note,$6M,$13M,Bangladesh
"Falcon Expenses, Inc.",Communication Services,Convertible Note,$12M,$82M,Thailand
Falcon Isle Resources,Utilities,Equity,$13M,$25M,Israel
Falcon Social,Financials,STO,$13M,$63M,Sweden
Falcor Equine Enterprises,Real Estate,Equity,$14M,$7M,Ireland
Falk Realtime,Financials,STO,$4M,$55M,Ireland
Falkon,Consumer Descretionary,Convertible Note,$6M,$85M,India
Fallbrook Technologies,Energy,Debt,$1M,$13M,Indonesia
Fallound,Consumer Staples,Convertible Note,$6M,$96M,France
Fama,Consumer Descretionary,STO,$12M,$68M,United States
FameBit,Healthcare,Equity,$2M,$8M,Bangladesh
FameCast,Industrial,Debt,$7M,$48M,United States
Starcount,Consumer Staples,Convertible Note,$7M,$14M,New Zealand
Famely,Information Technology,STO,$4M,$54M,Singapore
FAMICITY,Industrial,Debt,$10M,$15M,Denmark
Famigo,Real Estate,Convertible Note,$13M,$25M,Australia
FamiHero,Consumer Descretionary,STO,$15M,$99M,China
Familiar,Real Estate,STO,$7M,$96M,Thailand
Familink,Information Technology,Equity,$13M,$88M,United Kingdom
Familio,Industrial,Convertible Note,$12M,$10M,Ireland
FAMILO,Industrial,Equity,$14M,$53M,Bangladesh
Family Archival Solutions,Communication Services,STO,$14M,$53M,Iran
Family Connect,Communication Services,Equity,$4M,$29M,South Africa
Family Fish Farms Network,Healthcare,STO,$8M,$82M,United Kingdom
Family HealthCare Network,Industrial,Debt,$1M,$80M,Denmark
Family Help & Wellness,Financials,Equity,$6M,$30M,Thailand
Family Housing Investments,Materials,STO,$3M,$2M,Canada
Family-Mingle,Materials,Convertible Note,$15M,$29M,China
Family Nation,Information Technology,Debt,$3M,$37M,Sweden
Family Pet,Healthcare,Convertible Note,$3M,$20M,France
Family Sky,Healthcare,STO,$5M,$29M,Belgium
Family Sum,Consumer Staples,Debt,$11M,$75M,Belgium
Family Traveller,Consumer Staples,Debt,$12M,$100M,Canada
FamilyApp,Utilities,Equity,$2M,$49M,Turkey
Familybuilder,Communication Services,Equity,$4M,$5M,Australia
FamilyFinds,Information Technology,Convertible Note,$4M,$77M,Australia
FamilyID,Consumer Descretionary,STO,$1M,$77M,Thailand
FamilyLeaf,Communication Services,Debt,$10M,$59M,South Africa
FamilyLink,Energy,Debt,$5M,$35M,United States
FamilySkyline,Materials,Convertible Note,$14M,$15M,Indonesia
FamilySpace.RU,Consumer Staples,Equity,$13M,$87M,United Kingdom
Familytic,Real Estate,Equity,$4M,$53M,Denmark
Famly,Communication Services,STO,$15M,$84M,Mexico
Famo.us,Energy,Convertible Note,$3M,$87M,China
FAMOCO,Healthcare,Convertible Note,$6M,$44M,Malaysia
Famous Industries,Consumer Descretionary,Debt,$2M,$27M,Denmark
famPlus,Information Technology,Equity,$11M,$19M,Iran
FanBoom,Consumer Staples,Debt,$8M,$6M,Bangladesh
Fan-Me,Consumer Staples,Equity,$14M,$22M,Belgium
